date,PM25
8/18/11,21.45833333
8/19/11,59.125
8/20/11,77.45833333
8/21/11,-4.5
8/22/11,14.58333333
8/23/11,-953.5416667
8/24/11,-309.125
8/25/11,100.7083333
8/26/11,90.875
8/27/11,88.45833333
8/28/11,85.70833333
8/29/11,80.33333333
8/30/11,164.5416667
8/31/11,238.7916667
9/1/11,28.875
9/2/11,55.54166667
9/3/11,89.625
9/4/11,87.45833333
9/5/11,89.375
9/6/11,118.3333333
9/7/11,158.4166667
9/8/11,36.66666667
9/9/11,21.5
9/10/11,21.08333333
9/11/11,44.83333333
9/12/11,122.25
9/13/11,121.4583333
9/14/11,158.5
9/15/11,149.1666667
9/16/11,22.70833333
9/17/11,18.91666667
9/18/11,21.45833333
9/19/11,29.375
9/20/11,36.70833333
9/21/11,40.95833333
9/22/11,53.16666667
9/23/11,119.0416667
9/24/11,146.4166667
